회사명,이벤트시작일,이벤트종료일(마지막보도),기사수,언론사수,키워드종류,대표제목
코웨이,2013-02-18,2013-02-18,1,1,구조조정,"[리포트]코웨이, 사업 구조조정 효과 중장기 성장 긍정적-IBK투자증권"
코웰패션,2022-12-22,2022-12-22,1,1,구조조정,"[종목이슈] 코웰패션, 구조조정 칼바람...주가는 고점 대비 '반토막'"
코카콜라음료,2024-12-16,2024-12-17,5,5,희망퇴직,"코카콜라음료, 희망퇴직 단행 2007년 LG생건 인수 후 처음"
코카콜라음료,2026-03-03,2026-03-04,2,2,희망퇴직,"코카콜라음료, 작년 말 희망퇴직 실시 LG생건 인수 후 두번째"
쿠팡,2019-05-13,2019-05-13,1,1,구조조정,"[재계톡톡] 쿠팡, 고명주 각자대표 영입이 구조조정 예고?"
쿠팡,2026-03-17,2026-03-17,1,1,인력감축,"쿠팡, 두달새 직고용 1000명 급감 정보유출 후폭풍 인력감축 현실화"
큐브스,2015-08-17,2015-08-17,1,1,구조조정,"큐브스, 상반기 구조조정 완료 ""하반기 실적 증대 예상"""
큐브스,2015-11-13,2015-11-13,1,1,구조조정,"큐브스, 구조조정 마무리하고 재도약 날개짓"
크레디트스위스,2012-11-26,2012-11-26,1,1,구조조정,"크레디트스위스, 英 투자은행 사업부 100명 구조조정"
크레딧스위스,2011-07-28,2011-07-28,1,1,인력감축,"크레딧스위스, 2Q 순익 감소... 2000명 인력감축"
클락슨,2017-04-11,2017-04-11,1,1,구조조정,"클락슨, 조선업황 전망 하향 대우조선 구조조정 암초"
클래스101,2023-02-21,2023-02-21,1,1,구조조정,"[단독] 클래스101, 구독 모델 사업 부진으로 대규모 구조조정 돌입"
클루넷,2011-07-10,2011-07-10,1,1,구조조정,"[네오스타즈] 클루넷, 구조조정 마무리 하반기 흑자전환 기대감"
클리오,2019-12-12,2019-12-12,2,2,구조조정,"클리오, 구조조정 효과에 내수 호조로 올해 흑자전환 목표가↑ -IBK"
클리오,2021-05-17,2021-05-17,1,1,구조조정,"[리포트 브리핑]클리오, '디지털 전환과 오프라인 구조조정, 턴어라운드 강화' 목표가 25,000원 - IBK투자증권"
클리오,2026-04-21,2026-04-21,1,1,구조조정,"[리포트 브리핑]클리오, '국내 채널 구조조정 효과 지속' - 메리츠증권"
타다,2020-04-08,2020-04-08,1,1,희망퇴직,"타다, 결국 희망퇴직 받는다"
타다,2023-06-15,2023-07-03,10,9,"구조조정,희망퇴직","타다, 결국 구조조정 착수"
타임오프제,2010-05-03,2010-05-03,1,1,구조조정,"[사설] 타임오프제, 노동계 구조조정 계기로"
타타대우상용차,2020-10-05,2020-10-05,1,1,희망퇴직,"타타대우상용차, 군산공장 100여명 희망퇴직"
타타스틸,2013-04-29,2013-04-29,1,1,구조조정,"인도 타타스틸, 영국내 연구시설 2곳 폐쇄 구조조정"
태광산업,2025-07-14,2025-07-14,1,1,구조조정,"태광산업, 경쟁력 약화 석화 섬유 구조조정 가속 체질 개선 '시급' [biz-플러스]"
태광산업,2025-09-30,2025-09-30,1,1,"구조조정,희망퇴직","태광산업, 섬유 화섬 인력 구조조정 착수 희망퇴직 실시"
태양광,2012-04-18,2012-04-18,1,1,구조조정,"태양광, 상위업체 구조조정 본격화"
태양광산업,2013-03-21,2013-03-21,1,1,구조조정,<생생 코스닥>중국 태양광산업 구조조정 반사이익 기대 태양광株 동반 강세
태양광주,2012-05-02,2012-05-02,1,1,구조조정,"태양광주, 中경쟁사 구조조정 소식에 `덩실`"
태영건설,2024-01-11,2024-01-11,1,1,구조조정,"태영건설, 진통 끝에 워크아웃 개시...PF 매각 등 고강도 구조조정 예고"
태웅,2011-03-07,2011-03-07,2,2,구조조정,"태웅, 中 풍력업체 구조조정에 수혜-현대"
태웅,2013-09-09,2013-09-09,1,1,구조조정,"태웅, 업황회복과 구조조정 효과-현대"
텔루스,2017-08-16,2017-08-16,1,1,구조조정,"텔루스, 상반기 당기순이익 흑자전환 성공 ""자회사 구조조정 박차"""
토니모리,2019-05-23,2019-05-23,1,1,구조조정,"[특징주]토니모리, 중국 법인 통폐합 매장 구조조정 소식에 15% 급락"
토박스코리아,2026-03-13,2026-03-13,1,1,구조조정,"토박스코리아, 지난해 매출 397억...고강도 구조조정 추진"
톰슨로이터,2016-11-02,2016-11-02,1,1,구조조정,"톰슨로이터, 구조조정 착수 직원 2000명 줄인다"
통신업계,2010-06-21,2010-06-21,1,1,구조조정,"통신업계, 하반기 성장동력(?)은 구조조정"
통신업계,2024-11-28,2024-11-28,1,1,구조조정,"통신업계, 구조조정 한파 속 '칼바람' 인사 예고"
통합산은,2013-08-28,2013-08-28,1,1,구조조정,"통합산은, 구조조정 대신 신규채용 반으로 축소""(종합)"
티메프,2024-08-09,2024-08-30,2,2,구조조정,"티메프, 12일 법원에 구조조정 등 자구안 제출"
티몬,2016-07-18,2016-07-22,3,3,희망퇴직,"티몬, 희망퇴직 논란 지역사업 줄인다"
티몬,2025-06-16,2025-06-16,1,1,희망퇴직,"티몬, 희망퇴직 논란에 “퇴사자 동의받았다”"
티브로드,2017-04-28,2017-04-28,1,1,희망퇴직,"티브로드, 희망퇴직 추진 노조 ""부당 퇴직강요"""
파나텍,2024-08-18,2024-08-18,1,1,구조조정,"파나텍, 부채 부담과 구조조정 실패로 파산신청 커세어와 인수 협의 자신"
파라다이스,2022-02-18,2022-02-18,1,1,구조조정,"파라다이스, 실적보다 1분기 구조조정 중요-메리츠"
파라다이스시티,2020-07-14,2020-07-14,1,1,희망퇴직,"파라다이스시티, 코로나19에 전 직원 대상 희망퇴직 실시"
파리크라상,2023-11-14,2023-11-15,4,4,희망퇴직,"SPC그룹 파리크라상, 15년차 이상 직원 희망퇴직 진행"
파리크라상,2026-02-03,2026-02-04,4,4,희망퇴직,"파리크라상, 과장급 이상 희망퇴직 실시"
파인텍,2017-10-23,2017-11-15,3,3,구조조정,"[공시+]파인텍, 사업 구조조정 완료 ""BLU 사업 중단, 흑자 전환"""
팔고,2015-08-18,2015-08-18,2,1,구조조정,"팔고, 자르고  구조조정 칼바람"
패션업계,2017-01-16,2017-01-16,1,1,구조조정,"패션업계, 연초부터 브랜드 구조조정 '고삐'"
패션업계,2017-11-22,2017-11-22,1,1,구조조정,"패션업계, 선택과 집중 비효율 브랜드 구조조정"
팬오션,2013-06-07,2013-06-07,1,1,구조조정,"STX팬오션 법정관리 신청 ""계열사 구조조정 계획대로"""
팬택,2014-02-25,2014-02-25,1,1,구조조정,"팬택, 전화위복 꿈꾼다 ""추가 구조조정은 없어"""
팬택,2015-09-18,2015-09-18,1,1,구조조정,"팬택, 인력 구조조정 단행 400여명 회사 떠난다"
팬택,2016-04-22,2016-04-22,1,1,구조조정,"팬택, 임직원 절반 구조조정"
팬택,2017-05-12,2017-05-12,2,2,구조조정,"팬택, 스마트폰 사업 포기 적자에 추가 구조조정 돌입"
팹리스,2012-05-08,2012-05-08,1,1,구조조정,"[DT 시론] 팹리스, 과감한 구조조정 나서라"
페르노리카코리아,2016-05-29,2016-05-29,1,1,희망퇴직,"페르노리카코리아, 임원 무더기 희망퇴직 권고"
페퍼저축은행,2025-01-17,2025-02-13,4,4,희망퇴직,"‘업계 7위’ 페퍼저축은행, 경영 악화에 첫 희망퇴직 실시"
평산,2010-12-30,2010-12-30,1,1,구조조정,"평산, 강도높은 구조조정 '순차입금 3천억대↓'"
평화당,2019-08-29,2019-08-29,1,1,희망퇴직,"평화당, 당직자 상대로 희망퇴직 재요구 ""3개월치 월급 주겠다"""
포럼오래,2014-11-27,2014-11-27,1,1,구조조정,"포럼오래, 대한민국 산업 구조조정 6대전략 발표"
포스코,2011-06-28,2011-06-28,1,1,구조조정,"포스코, 출자사 선제적 구조조정 움직임"
포스코,2012-07-27,2012-09-04,3,1,구조조정,"[더벨]포스코, 계열사 구조조정 '살생부' 있나"
포스코,2012-10-11,2012-10-23,3,2,구조조정,"포스코, 계열사 간 구조조정 본격 시동"
포스코,2013-01-02,2013-01-02,1,1,구조조정,"포스코, 계열사 구조개편 속도 ""인력 구조조정 없다"""
포스코,2014-04-29,2014-05-20,8,6,구조조정,"포스코, 권오준식 계열사 구조조정 본격화"
포스코,2014-07-17,2014-07-17,2,2,구조조정,"포스코, 구조조정 본격화 3개 자회사 매각 추진"
포스코,2014-08-17,2014-08-17,1,1,구조조정,"포스코, 비핵심 사업 재편 계열사 구조조정 박차"
포스코,2015-05-10,2015-06-11,6,5,구조조정,"포스코, 비핵심 사업 자산 구조조정 가속"
포스코,2015-07-15,2015-07-16,3,2,구조조정,"포스코, 계열사 절반 축소...고강도 구조조정"
포스코,2015-10-20,2015-10-21,3,2,구조조정,포스코 “계열사 구조조정 완료기간 앞당긴다”
포스코,2015-12-16,2015-12-16,1,1,구조조정,"포스코, 19개 비핵심 계열사 “연내 구조조정 가능”"
포스코,2016-01-28,2016-01-30,4,3,구조조정,"포스코, 지난해 구조조정 46건 재무개선 효과 2,10조"
포스코,2016-04-21,2016-04-22,3,3,구조조정,포스코 “강력한 구조조정 올해 말까지 마무리될 것”
포스코,2016-06-01,2016-07-13,4,3,"구조조정,희망퇴직","[오늘의 이투데이 1면] 포스코, 계열사 인력 구조조정 나선다 등"
포스코,2016-08-24,2016-08-29,4,4,구조조정,"[단독] 포스코, 본사 인력 사상 첫 구조조정"
포스코,2016-10-05,2016-11-06,3,3,구조조정,"포스코, 中 철강센터 구조조정 강도 높인다"
포스코,2017-01-19,2017-01-26,4,4,구조조정,"[특징주]포스코, 中 철강업계 구조조정 기대감에 강세"
포스코,2017-04-03,2017-04-03,1,1,구조조정,"[클릭 e종목]포스코, 구조조정에 따른 수익성 개선 기대"
포스코,2017-07-27,2017-07-27,1,1,구조조정,"포스코, ‘혁신 2.0’ 구조조정 넘어 성장 기반 다지기"
포스코,2017-08-29,2017-09-27,3,3,구조조정,"[Hot-Line] ""POSCO, 중국 철강업계 구조조정 수혜 예상"""
포스코,2018-01-03,2018-01-26,5,5,구조조정,"포스코, 4년 구조조정 마무리"
포스코,2018-02-26,2018-02-26,2,2,구조조정,"[새로운 도약] 포스코, 구조조정 완료 창립50돌 맞아 재도약 담금질"
포스코,2018-07-02,2018-07-02,1,1,구조조정,"[일자리가 희망이다]포스코, 구조조정 항목서 '인력' 삭제"
포스코,2020-01-31,2020-01-31,2,2,구조조정,"포스코, 한국 철강 구조조정 총대 멜까"
포스코,2024-10-17,2024-10-17,1,1,"구조조정,희망퇴직","[단독] 포스코, 희망퇴직 시행 구조조정 속도"
포스코건설,2016-09-30,2016-09-30,1,1,구조조정,"포스코건설, 하반기 대규모 구조조정"
포스코그룹,2016-07-20,2016-07-20,1,1,구조조정,"포스코그룹, 구조조정 회오리"
포스코대우,2018-04-25,2018-04-25,1,1,구조조정,"포스코대우, 구조조정 효과 마진개선 지속 '목표가↑'-미래에셋대우"
포스코에너지,2016-06-01,2016-06-01,2,2,"구조조정,희망퇴직","포스코에너지 ""연료전지사업부 인력 구조조정 중"""
포스코엠텍,2014-09-07,2014-09-07,1,1,구조조정,"포스코엠텍, 임원 10여명 일괄 사표..강력 구조조정"
포스코엠텍,2015-04-21,2015-04-21,1,1,구조조정,"포스코엠텍, 포스하이알 구조조정 다각도 검토 중"
포스코엠텍,2015-06-01,2015-06-01,1,1,구조조정,"포스코엠텍, 구조조정 해결할 문제 남아..'중립'-한국"
포스코엠텍,2015-12-03,2015-12-03,1,1,구조조정,"[주의!이종목]포스코엠텍, 내년에도 구조조정 이어지면서 매출액 감소 전망-한국투자증권"
포스코엠텍,2016-06-05,2016-06-05,1,1,구조조정,"[클릭 e종목] 포스코엠텍, 구조조정 마무리로 이익 안정화 기대"
포스코엠텍,2016-11-01,2016-11-01,2,2,구조조정,"[베스트리포트]포스코엠텍, 구조조정 재평가 시점"
포스코켐텍,2014-06-12,2014-06-12,1,1,구조조정,"포스코켐텍, 그룹 구조조정의 핵심-한화證"
포스코퓨처엠,2024-08-25,2024-08-25,1,1,구조조정,"포스코퓨처엠, 피앤오케미칼 지분 전량 매각 그룹 구조조정 속도"
포스코퓨처엠,2025-02-25,2025-02-25,1,1,구조조정,"포스코퓨처엠, 구조조정 본격화 구미 공장 매각 투자 속도 조절"
포스코플랜텍,2014-09-01,2014-09-01,1,1,구조조정,"포스코플랜텍, 내년 흑자전환 목표..고강도 구조조정"
포스코플랜텍,2015-02-01,2015-02-25,4,3,"구조조정,희망퇴직","포스코플랜텍, 곧 대규모 구조조정"
포스코플랜텍,2015-04-28,2015-04-28,1,1,구조조정,"포스코플랜텍, 울산공장 추가 구조조정 검토"
포스코플랜텍,2015-10-24,2015-10-26,2,2,희망퇴직,"포스코플랜텍, 올해 두 번째 희망퇴직 접수"
포스코홀딩스,2025-04-25,2025-04-25,1,1,구조조정,"포스코홀딩스, 구조조정 40% 완료 1.1조 더 판다"
포에버21,2019-10-17,2019-10-17,1,1,구조조정,"포에버21, 파산신청 후 1170명 대규모 감원 등 구조조정 착수"
폭스바겐그룹,2026-06-19,2026-06-19,1,1,구조조정,"폭스바겐그룹, 재도약 미래 계획 발표...대규모 구조조정도 병행"
폭염,2016-08-31,2016-08-31,1,1,구조조정,"폭염, 개소세 인하 종료, 구조조정 여파로 경제 지표 먹구름"
폼팩터,2010-06-17,2010-06-17,1,1,구조조정,"폼팩터, 또 직원 감축 2년간 5번째 구조조정"
푸르덴셜,2020-12-13,2020-12-13,1,1,희망퇴직,"푸르덴셜, 고참급 직원 희망퇴직 받는다"
푸르덴셜생명,2020-12-14,2020-12-14,1,1,희망퇴직,"푸르덴셜생명, 희망퇴직 단행 대면영업 악화 조치"
푸르덴셜증권,2010-07-14,2010-07-14,1,1,구조조정,"[단독]푸르덴셜증권, 구조조정 '칼바람' 조짐 50년대 출생자 명퇴"
푸르밀,2022-10-28,2022-11-18,37,19,"구조조정,인력감축,희망퇴직","푸르밀, 희망퇴직 공고 “꼼수” 노조 반발"
푸에르토리코전력청,2015-06-02,2015-06-02,1,1,구조조정,"푸에르토리코전력청, 채권단에 구조조정 계획 제출"
프라임사업,2016-03-30,2016-03-30,1,1,구조조정,"프라임사업, 구조조정 학과 반발에도 대학측은 강행 왜?"
핀다,2026-05-19,2026-05-19,1,1,희망퇴직,"핀다, 창사 첫 희망퇴직 실시 저축은행 인수 앞두고 조직 재정비"
필립스,2010-07-10,2010-07-10,1,1,구조조정,"필립스, 구조조정 베테랑 CEO 내정"
필립스,2011-10-17,2011-10-17,1,1,구조조정,"필립스, 수익성 위기..4500명 감원 등 구조조정"
하나금융,2010-06-28,2010-07-16,2,1,구조조정,"하나금융, 구조조정 부담 적고 M&A 모멘텀 기대-씨티"
하나금융,2010-11-25,2010-11-25,1,1,구조조정,"하나금융, “통합경영원칙, 구조조정 없을 것”"
하나금융,2012-01-28,2012-01-29,2,2,구조조정,"하나금융, 2위로 도약 ""인위적 인력 구조조정 없다"""
하나금융,2015-02-25,2015-02-25,1,1,구조조정,"하나금융, 통합 후 대규모 구조조정 운운..외환 노조 “전쟁선포?”"
하나금융,2015-11-11,2015-11-11,1,1,희망퇴직,"하나금융, 희망퇴직 실시"
하나금융,2016-05-02,2016-05-02,1,1,구조조정,"하나금융, '한 배' 탄 현대중공업에 구조조정 압박"
하나금융,2022-02-22,2022-02-22,1,1,구조조정,"하나금융, 구조조정 대상기업 투자 시작 ""코로나로 어려운 中企 지원"""
하나금융투자,2015-11-11,2015-12-01,10,10,희망퇴직,"하나금융투자, 지난해 이어 올해도 희망퇴직"
하나금융투자,2016-03-28,2016-03-28,4,4,구조조정,"하나금융투자, 부실 골프장 구조조정 속도낸다 법무법인과 MOU 체결"
하나금융투자,2016-08-05,2016-08-05,1,1,구조조정,"하나금융투자 ""기활법, 부실기업 구조조정 촉진할 것"""
하나금융투자,2021-12-23,2021-12-23,6,6,희망퇴직,"하나금융투자, 6년 만에 희망퇴직 돌입 ""빠르면 연말 퇴직"""
하나금융투자-대륙아주,2016-03-28,2016-03-28,2,2,구조조정,"하나금융투자-대륙아주, 골프장 한계기업 구조조정 협력"
하나대투증권,2011-04-19,2011-04-19,1,1,구조조정,"하나대투증권, 건설업종 구조조정은 대형건설사에 기회요인"
하나대투증권,2014-04-16,2014-05-07,3,3,"구조조정,희망퇴직",하나대투증권 구조조정 착수 희망퇴직 단행
하나생명,2013-10-22,2013-10-22,1,1,희망퇴직,"하나생명, 희망퇴직 신청 50명 완료"
하나에프앤아이,2022-02-22,2022-02-22,1,1,구조조정,"하나에프앤아이, 기업 구조조정 투자 개시"
하나은행,2011-08-19,2011-08-19,1,1,희망퇴직,"하나은행, 희망퇴직 추진"
하나은행,2015-12-23,2015-12-23,1,1,희망퇴직,KEB하나은행 희망퇴직 실시
하나은행,2020-12-17,2020-12-17,1,1,희망퇴직,"하나은행, 희망퇴직 진행 오는 22일까지 신청 접수"
하나은행,2022-01-03,2022-01-28,4,4,희망퇴직,하나은행 희망퇴직 확대 40대 행원도 3년치 월급 받고 나간다
하나은행,2023-01-03,2023-01-03,5,5,희망퇴직,하나은행 희망퇴직 실시...만 40세 이상
하나은행,2023-12-28,2023-12-29,5,5,희망퇴직,"하나은행, 희망퇴직 접수 시작 ""40세 이상 대상"""
하나은행,2024-06-14,2024-06-14,3,3,희망퇴직,"하나은행, 만 40세 이상 희망퇴직 접수"
하나은행,2025-01-02,2025-01-02,7,7,희망퇴직,"하나은행, 희망퇴직 단행 ""만 40세 이상, 최대 31개월 치 임금 지급"""
하나은행,2025-07-01,2025-07-02,6,6,희망퇴직,"""40세 이상 최대 28개월치 임금 지급""...하나은행, 희망퇴직 받는다"
하나은행,2026-01-02,2026-01-03,10,9,희망퇴직,최대 31개월치 월급 한 번에 하나은행 희망퇴직 실시
하나은행,2026-06-23,2026-06-23,1,1,희망퇴직,"하나은행, 만 40세 이상 직원 대상 희망퇴직 시행"
하나카드,2015-12-29,2016-01-04,4,3,"구조조정,희망퇴직","하나카드, 연말 희망퇴직 실시 창사이래 처음"
하나카드,2022-01-10,2022-01-10,1,1,희망퇴직,"[단독] 하나카드, 선제적 희망퇴직 실시 목요일까지 신청자 접수"
하나카드,2023-01-06,2023-01-06,4,4,희망퇴직,"하나카드, 희망퇴직 실시 1968년생부터"
하나투어,2017-08-29,2017-08-29,1,1,구조조정,"하나투어, 면세점 사업 철수 대신 구조조정"
하나투어,2020-10-28,2020-11-19,2,2,구조조정,"하나투어, 대규모 적자로 구조조정 나서야-현대차"
하나투어,2021-01-18,2021-01-18,1,1,"구조조정,희망퇴직","하나투어, 사실상 구조조정 절차 돌입 ""면담 통해 진행하는 희망퇴직 개념으로 봐주었으면 좋겠다"""
하나투어,2021-03-15,2021-03-16,3,3,구조조정,"하나투어, 위기 돌파 나서나 ""인위적 구조조정 더 이상 없다"""
하이닉스반도체,2012-03-12,2012-03-12,1,1,구조조정,"하이닉스반도체, 엘피다의 구조조정에 따른 반사 수혜 예상"
하이마트,2022-12-12,2022-12-14,4,4,희망퇴직,침체늪 빠진 가전 양판 시장 롯데하이마트 희망퇴직 실시
하이원리조트,2012-06-27,2012-06-27,1,1,희망퇴직,"하이원리조트, 희망퇴직 시행안 의결"
하이투자증권,2012-05-07,2012-05-07,1,1,구조조정,"하이투자증권, ""3차 저축은행 구조조정 영향은 제한적"""
하이투자증권,2015-01-29,2015-01-30,7,7,"구조조정,희망퇴직","하이투자증권, 지점 통폐합 인력 구조조정 추진"
하이투자증권,2017-03-10,2017-03-10,1,1,"구조조정,희망퇴직","[단독] 하이투자증권, 희망퇴직 등 구조조정 임박"
하이투자증권,2017-05-15,2017-05-21,6,6,희망퇴직,"[마켓인사이트] 하이투자증권, 올해 증권업계 첫 희망퇴직"
하이투자증권,2021-12-06,2021-12-06,1,1,구조조정,"""두산, 그룹 구조조정 마무리 수순으로 불확실성 해소될 듯"" - 하이투자증권"
하이투자증권,2022-11-29,2022-12-02,7,7,"구조조정,인력감축,희망퇴직",하이투자증권 희망퇴직 내부 검토 연말 증권사 인력감축 본격화되나
하이트-진로그룹,2010-11-18,2010-11-18,1,1,구조조정,"하이트-진로그룹, 구조조정 칼바람 분다"
하이트진로,2012-11-28,2012-11-28,1,1,희망퇴직,"하이트진로, 희망퇴직 실시키로"
하이트진로,2017-03-09,2017-03-10,9,9,희망퇴직,"하이트진로, 전 직원 대상 희망퇴직 실시"
하이트진로,2017-04-11,2017-05-15,3,3,희망퇴직,"하이트진로, 씁쓸한 희망퇴직에 300여명 신청"
하이트진로,2017-08-14,2017-08-14,2,2,희망퇴직,"하이트진로, 희망퇴직 급여 지급으로 적자전환 3분기 기대"
하이트진로,2017-09-29,2017-09-29,1,1,인력감축,"하이트진로, 맥주부문 적자에 공장 한 곳 매각 인력감축은 없어"
하이트진로,2022-11-02,2022-11-03,15,13,희망퇴직,"하이트진로, '15년차 이상' 직원 대상 희망퇴직 신청 받는다"
학계,2016-05-31,2016-05-31,1,1,구조조정,"학계, 구조조정 도덕적 해이 우려 ""대통령 직접 나서야"""
한계기업,2013-10-07,2013-10-07,1,1,구조조정,"한계기업, 동양 사태 이후 구조조정 M&A로 이어질 개연성 커져"
한국-중국,2015-11-02,2015-11-02,1,1,구조조정,"한국-중국, 철강 조선업 구조조정 본격화...제조업 위기 돌파구 마련"
한국GM,2012-05-30,2012-05-30,1,1,희망퇴직,"왜 희망퇴직 받지? 한국GM, 부장급 이상 사무직 대상"
한국GM,2012-08-07,2012-08-13,2,2,"구조조정,희망퇴직","한국GM, 부장급 100여명 희망퇴직 실시"
한국GM,2012-11-20,2012-12-16,10,6,"구조조정,희망퇴직","한국지엠, 2차 희망퇴직 시행 사무직 전체 대상"
한국GM,2013-12-09,2014-03-16,37,17,"구조조정,인력감축,희망퇴직",‘쉐보레’ 유럽수출 중단 따라 구조조정 우려 고조 한국GM 노조 “대체물량 확보 먼저”
한국GM,2014-11-14,2014-11-15,8,6,"구조조정,희망퇴직","한국지엠, 군산공장 1교대 전환 사무직 희망퇴직 추진"
한국GM,2015-06-23,2015-07-16,4,3,구조조정,구조조정 전문가 영입에 수입차 확대 한국GM 철수 임박?
한국GM,2015-12-12,2016-01-05,9,5,희망퇴직,"[간추린 뉴스/ 단신]한국GM, 희망퇴직 신청 접수 外"
한국GM,2016-05-26,2016-05-26,1,1,구조조정,"한국GM 찾은 고용부 장관 ""협력적 구조조정의 좋은 예"""
한국GM,2017-03-06,2017-03-07,10,10,"구조조정,희망퇴직","한국지엠, 1년 만에 사무직 희망퇴직 실시"
한국GM,2017-04-17,2017-04-17,1,1,구조조정,"한국GM, 3년연속 적자 구조조정 압박 세진다"
한국GM,2017-08-18,2017-08-30,3,1,구조조정,"[서울경제TV] 한국GM, 구조조정 전문가 ‘카허카젬’ 사장 선임 한국 철수?"
한국GM,2017-11-12,2017-11-12,1,1,구조조정,"한국지엠, 생산라인 구조조정 한파 예고"
한국GM,2018-02-07,2018-05-04,62,31,"구조조정,인력감축,희망퇴직",美GM '메리 바라' 회장 “한국GM 구조조정 논의中”
한국GM,2018-09-21,2018-10-23,3,3,"구조조정,희망퇴직","한국지엠, R&D 신설해 구조조정 논란"
한국GM,2018-11-27,2018-12-10,6,5,구조조정,"한국GM 사장 ""경영정상화로 내실 갖출 것"" 구조조정 즉답 피해"
한국GM,2019-02-01,2019-02-01,1,1,구조조정,"[단독] 한국GM, 비생산직 구조조정 추진 인천부품 창고 세종으로 통합"
한국GM,2019-05-13,2019-05-13,1,1,희망퇴직,"희망퇴직 접수는 부당노동행위"" 한국GM 노조, 사측 고발"
한국GM,2019-06-20,2019-06-20,2,2,희망퇴직,"한국GM, 사무직 등 희망퇴직 실시 ""경영 효율화"""
한국GM,2019-09-25,2019-09-25,1,1,구조조정,구조조정 칼바람 車업계 ‘손잡은’ 쌍용차-‘손뿌리친’ 한국GM-르노
한국GM,2020-06-05,2020-06-05,1,1,구조조정,"한국지엠, 부평공장 물류센터 부지 매각 ""勞 구조조정 우려"""
한국GM,2025-05-29,2025-05-29,1,1,구조조정,"한국GM, '생존 모드' 돌입 대대적인 구조조정 예고"
한국GM,2026-03-09,2026-03-12,2,2,희망퇴직,‘내수 부진’ 한국GM...영업직 희망퇴직 추진
한국GM,2026-05-31,2026-05-31,1,1,희망퇴직,"한국GM, 흑자 전환했는데 연구개발법인 희망퇴직 받아 논란"
한국SC은행,2014-05-29,2014-05-30,2,2,구조조정,"칸왈 한국SC은행장 ""추가 통폐합 인력 구조조정 없다"""
한국SC은행,2015-08-17,2015-08-17,2,1,구조조정,SC그룹 신임회장 내일 방한 한국SC은행 구조조정 빨라지나
한국SC은행,2015-11-20,2015-11-20,2,2,"구조조정,희망퇴직","한국SC은행, 구조조정 돌입 직원 대상 특별퇴직 실시"
한국금융,2015-02-27,2015-02-27,1,1,구조조정,[여의도에서] 한국금융과 구조조정
한국금융지주,2014-02-25,2014-02-25,2,2,구조조정,"한국금융지주, 업계 구조조정 수혜 기대-NH"
한국금융지주,2024-08-06,2024-08-06,1,1,구조조정,"[리포트 브리핑]한국금융지주, '2Q24 review: PF 구조조정 영향에도 서프라이즈 시현' 목표가 84,000원 - 삼성증권"
한국닛산,2019-09-30,2019-10-01,2,2,구조조정,"한국닛산, 국내 판매망 구조조정"
한국다케다제약,2020-06-12,2020-06-12,1,1,희망퇴직,"한국다케다제약, 희망퇴직 실시 ""셀트리온에 매각한 사업 정리"""
한국선급,2016-09-29,2016-09-29,1,1,구조조정,"한국선급, 구조조정 조선업계 재취업 지원"
한국씨티,2012-09-18,2012-09-18,1,1,구조조정,"한국씨티, 불황에 구조조정 단행"
한국씨티금융,2012-09-19,2012-09-19,1,1,구조조정,"한국씨티금융, 자회사 구조조정 실시"
한국씨티은행,2014-05-26,2014-05-26,3,3,희망퇴직,"한국씨티은행, 희망퇴직 추진..최대 60개월치 급여 제안"
한국씨티은행,2021-06-16,2021-06-16,1,1,희망퇴직,"한국씨티은행, 희망퇴직 7년만에 실시할지 주목"
한국씨티은행,2021-10-25,2021-11-11,4,4,희망퇴직,"한국씨티은행, 소비자금융 단계적 폐지 ""노조 협의 통해 희망퇴직 진행"""
한국일보,2014-01-15,2014-01-15,1,1,구조조정,"한국일보, 구조조정 신호탄?"
한국자산신탁,2025-02-11,2025-02-11,1,1,구조조정,"[리포트 브리핑]한국자산신탁, '4Q review: 신탁업계 구조조정은 기회' 목표가 3,600원 - 삼성증권"
한국전력공사,2014-06-27,2014-06-27,1,1,구조조정,"한국전력공사, 노사 구조조정 때 '사전 합의 → 사전 협의'로 바뀐 까닭"
한국타이어,2015-07-28,2015-07-28,1,1,구조조정,"[단독] 한국타이어, '크로스펑셔널팀' 신설 등 조직 개편 일각에선 구조조정 우려도"
한국타이어,2023-04-08,2023-04-27,3,3,"구조조정,희망퇴직",한국타이어 화재 여파 협력업체로 계약 끊긴 곳 대거 구조조정
한국투자증권,2017-03-24,2017-03-27,2,2,구조조정,"""대우조선해양 구조조정 불확실성 제거...은행업 손실↓""-한국투자증권"
한국해양조선,2019-06-02,2019-06-02,1,1,구조조정,"[사설] 한국해양조선, 성공적 구조조정의 출발이길"
한국해운연합,2017-11-30,2017-11-30,1,1,구조조정,"한국해운연합, 구조조정 첫 성과 한일 동남아 항로, 선박 7척 철수"
한국해운연합,2018-01-02,2018-01-04,3,2,구조조정,"한국해운연합, 동남아 항로 구조조정 '순항'"
한국해운연합,2018-03-07,2018-03-07,1,1,구조조정,"한국해운연합, 3차 구조조정 확정 베트남 항로서 2척 철수"
한나라,2011-05-24,2011-05-24,1,1,구조조정,"한나라, 반값 등록금ㆍ대학 구조조정 병행추진"
한라,2015-12-24,2015-12-24,1,1,구조조정,"한라, 사업 구조조정 등 재무구조 개선 박차"
