Code,Name,Market,SecuGroup,ListingDate,DelistingDate,Reason,Industry,ToSymbol,ToName,source
038710,BRN사이언스,KOSDAQ,주권,2002-02-19,2011-05-07,감사의견거절(계속기업으로서의 존속능력에 대한 불확실성),제약,,,FinanceDataReader.StockListing(KRX-DELISTING)
032040,C&S자산관리,KOSDAQ,주권,1997-01-23,2018-10-11,감사의견거절(범위제한 및 계속기업 존속능력에 대한 불확실성),일반서비스,,,FinanceDataReader.StockListing(KRX-DELISTING)
03204017,C&S자산관리 34R,KOSDAQ,신주인수권증서,2017-02-02,2017-02-09,,,,,FinanceDataReader.StockListing(KRX-DELISTING)
130960,CJ E&M,KOSDAQ,주권,2010-10-15,2018-07-18,피흡수합병,방송서비스,,,FinanceDataReader.StockListing(KRX-DELISTING)
049370,CJ엔터테인,KOSDAQ,주권,2002-02-05,2006-04-20,피흡수합병,오락·문화,,,FinanceDataReader.StockListing(KRX-DELISTING)
037150,CJ인터넷,KOSDAQ,주권,1999-12-24,2011-03-22,씨제이이앤엠(주)에 피흡수합병,인터넷,,,FinanceDataReader.StockListing(KRX-DELISTING)
039720,CJ프론티어,KOSDAQ,투자회사,2000-04-21,2001-02-06,증권투자회사법 64조에 의한 해산사유 발생,,,,FinanceDataReader.StockListing(KRX-DELISTING)
035710,CL,KOSDAQ,주권,1999-11-11,2010-05-01,감사범위제한으로 인한 감사의견거절,유통,,,FinanceDataReader.StockListing(KRX-DELISTING)
05882016,CMG제약 27R,KOSDAQ,신주인수권증서,2016-10-18,2016-10-25,,,,,FinanceDataReader.StockListing(KRX-DELISTING)
05882019,CMG제약 31R,KOSDAQ,신주인수권증서,2019-07-04,2019-07-11,,,,,FinanceDataReader.StockListing(KRX-DELISTING)
023460,CNH,KOSDAQ,주권,1994-10-07,2025-07-14,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,금융,,,FinanceDataReader.StockListing(KRX-DELISTING)
050470,CT&T,KOSDAQ,주권,2002-04-23,2012-05-01,감사 의견거절(감사범위 제한),운송장비·부품,,,FinanceDataReader.StockListing(KRX-DELISTING)
056340,CU전자,KOSDAQ,주권,2002-11-08,2014-05-21,최종부도 발생,IT부품,,,FinanceDataReader.StockListing(KRX-DELISTING)
404950,DB금융스팩10호,KOSDAQ,주권,2022-01-20,2024-01-04,피흡수합병(스팩소멸합병),금융,,,FinanceDataReader.StockListing(KRX-DELISTING)
456440,DB금융스팩11호,KOSDAQ,주권,2023-07-12,2025-05-16,피흡수합병(스팩소멸합병),금융,,,FinanceDataReader.StockListing(KRX-DELISTING)
367340,DB금융스팩8호,KOSDAQ,주권,2020-12-09,2023-07-17,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,금융,,,FinanceDataReader.StockListing(KRX-DELISTING)
367360,DB금융스팩9호,KOSDAQ,주권,2021-03-16,2023-11-24,피흡수합병(스팩소멸합병),금융,,,FinanceDataReader.StockListing(KRX-DELISTING)
2901221D,DH오토리드 9WR,KOSDAQ,신주인수권증권,2023-06-21,2026-05-07,신주인수권 행사기간 만료,,290120,DH오토리드,FinanceDataReader.StockListing(KRX-DELISTING)
0254401E,DH오토웨어 44R,KOSDAQ,신주인수권증서,2024-11-29,2024-12-06,,,,,FinanceDataReader.StockListing(KRX-DELISTING)
1804001E,DXVX 42R,KOSDAQ,신주인수권증서,2024-08-21,2024-08-28,,,,,FinanceDataReader.StockListing(KRX-DELISTING)
4186202F,E8 12R,KOSDAQ,신주인수권증서,2025-11-28,2025-12-05,,,,,FinanceDataReader.StockListing(KRX-DELISTING)
13050017,GH신소재 4R,KOSDAQ,신주인수권증서,2017-03-22,2017-03-29,,,,,FinanceDataReader.StockListing(KRX-DELISTING)
1305001B,GH신소재 5R,KOSDAQ,신주인수권증서,2021-08-26,2021-09-02,,,,,FinanceDataReader.StockListing(KRX-DELISTING)
054020,GK파워,KOSDAQ,주권,2002-05-07,2010-04-03,최종부도,정보기기,,,FinanceDataReader.StockListing(KRX-DELISTING)
028150,GS홈쇼핑,KOSDAQ,주권,2000-01-20,2021-07-16,피흡수합병,방송서비스,,,FinanceDataReader.StockListing(KRX-DELISTING)
053870,GT&T,KOSDAQ,주권,2001-12-13,2015-10-15,'14사업연도 자본잠식률 50%이상 사유로 관리종목 지정 후 '15사업연도 반기 감사의견 거절,통신장비,,,FinanceDataReader.StockListing(KRX-DELISTING)
045890,GV,KOSDAQ,주권,2005-11-28,2021-12-20,해산사유 발생(파산선고),전기·전자,,,FinanceDataReader.StockListing(KRX-DELISTING)
052310,H1바이오,KOSDAQ,주권,2001-05-24,2009-04-23,3회 연속 자기자본 50%초과 법인세비용차감전계속사업손실,오락·문화,,,FinanceDataReader.StockListing(KRX-DELISTING)
07815210,HB테크놀러지 1WR,KOSDAQ,신주인수권증권,2010-02-16,2013-01-07,신주인수권 행사기간 만료,,078150,HB테크놀러지,FinanceDataReader.StockListing(KRX-DELISTING)
007640,HK저축은행,KOSDAQ,주권,1992-08-01,2009-02-03,상장폐지신청(2009.01.12),금융,,,FinanceDataReader.StockListing(KRX-DELISTING)
0676301E,HLB생명과학 36R,KOSDAQ,신주인수권증서,2024-05-29,2024-06-05,,,,,FinanceDataReader.StockListing(KRX-DELISTING)
126680,IBKS스팩1호,KOSDAQ,주권,2010-12-22,2013-07-29,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,금융,,,FinanceDataReader.StockListing(KRX-DELISTING)
351340,IBKS제13호스팩,KOSDAQ,주권,2020-07-15,2023-02-21,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,금융,,,FinanceDataReader.StockListing(KRX-DELISTING)
405350,IBKS제17호스팩,KOSDAQ,주권,2022-02-18,2023-11-03,피흡수합병(스팩소멸합병),금융,,,FinanceDataReader.StockListing(KRX-DELISTING)
426550,IBKS제19호스팩,KOSDAQ,주권,2022-08-26,2024-02-15,피흡수합병(스팩소멸합병),금융,,,FinanceDataReader.StockListing(KRX-DELISTING)
439730,IBKS제20호스팩,KOSDAQ,주권,2022-10-28,2025-06-02,합병상장예비심사신청서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,금융,,,FinanceDataReader.StockListing(KRX-DELISTING)
